"Country","Gasoline Price"
"Venezuela ","0.01"
"Sudan ","0.13"
"Iran ","0.29"
"Kuwait","0.34"
"Algeria","0.35"
"Nigeria ","0.4"
"Egypt","0.43"
"Turkmenistan ","0.43"
"Kazakhstan ","0.47"
"Azerbaijan ","0.47"
"Ecuador ","0.49"
"Malaysia","0.5"
"Qatar","0.51"
"Angola ","0.52"
"Bahrain ","0.53"
"Bolivia","0.54"
"Uzbekistan ","0.54"
"Saudi Arabia ","0.54"
"Oman","0.56"
"UA Emirates","0.57"
"Burma","0.57"
"Kyrgyzstan","0.61"
"Iraq ","0.63"
"Afghanistan ","0.64"
"Russia","0.67"
"Tunisia","0.68"
"Indonesia","0.7"
"Ethiopia ","0.72"
"Pakistan","0.74"
"Colombia","0.74"
"Belarus","0.75"
"Bhutan ","0.76"
"Haiti ","0.8"
"USA","0.8"
"Benin ","0.81"
"Lebanon","0.84"
"Sierra Leone","0.84"
"Tr.&Tobago ","0.85"
"Vietnam","0.87"
"Dominica ","0.87"
"Namibia","0.87"
"Botswana ","0.87"
"Panama","0.87"
"Georgia","0.87"
"Puerto Rico ","0.88"
"Sri Lanka","0.88"
"Chad ","0.89"
"Liberia ","0.9"
"Suriname","0.92"
"Guatemala","0.92"
"Swaziland ","0.92"
"Tanzania","0.93"
"Lesotho ","0.93"
"Taiwan","0.94"
"El Salvador","0.96"
"Togo ","0.96"
"Nepal","0.97"
"Cambodia","0.98"
"Kenya","0.99"
"Fiji","0.99"
"Mexico","1.01"
"Costa Rica","1.02"
"Australia","1.02"
"Ukraine","1.02"
"Guyana ","1.04"
"Guinea ","1.04"
"China","1.05"
"Honduras","1.06"
"Moldova","1.06"
"Philippines","1.06"
"India","1.06"
"Bangladesh ","1.06"
"Ivory Coast","1.06"
"Argentina","1.07"
"Paraguay ","1.08"
"Nicaragua","1.08"
"Ghana","1.08"
"Canada","1.08"
"Cameroon","1.09"
"Saint Lucia","1.09"
"Morocco ","1.09"
"Aruba","1.1"
"Peru","1.1"
"Brazil","1.12"
"Mozambique ","1.12"
"Thailand","1.12"
"Gabon ","1.12"
"Burkina Faso ","1.12"
"South Africa","1.13"
"Uganda","1.14"
"Rwanda","1.15"
"Madagascar ","1.16"
"Bahamas ","1.18"
"Laos","1.19"
"Senegal ","1.19"
"Malawi","1.19"
"Grenada","1.19"
"Bulgaria","1.2"
"Chile","1.2"
"Cayman Isl.","1.2"
"Mali ","1.22"
"Cuba ","1.22"
"South Korea","1.24"
"Japan","1.25"
"Domin. Rep.","1.25"
"Macedonia","1.26"
"Cape Verde","1.27"
"Bosnia & Herz. ","1.27"
"Jamaica","1.29"
"Turkey","1.31"
"Lithuania","1.31"
"Poland","1.31"
"Andorra","1.32"
"Burundi ","1.32"
"Romania","1.36"
"Mauritius","1.36"
"Cyprus","1.36"
"Hungary","1.37"
"Latvia","1.38"
"Czech Rep.","1.39"
"DR Congo ","1.39"
"Austria","1.4"
"Luxembourg","1.4"
"Jordan","1.41"
"Serbia","1.42"
"Belize ","1.43"
"Montenegro","1.46"
"Spain","1.48"
"C.A. Republic ","1.49"
"Slovakia","1.49"
"Slovenia","1.49"
"Croatia","1.51"
"Malta","1.53"
"Switzerland","1.53"
"Ireland","1.54"
"Estonia","1.54"
"UK","1.57"
"Singapore","1.57"
"Yemen ","1.58"
"Germany","1.58"
"New Zealand","1.6"
"Zambia","1.62"
"Albania ","1.62"
"Belgium","1.64"
"Liechtenstein ","1.65"
"San Marino ","1.66"
"Wallis and Futuna Islands ","1.67"
"Uruguay","1.7"
"Portugal","1.7"
"France","1.7"
"Finland","1.72"
"Mayotte","1.74"
"Israel","1.75"
"Italy","1.78"
"Sweden","1.79"
"Denmark","1.82"
"Greece","1.83"
"Iceland","1.84"
"Netherlands","1.88"
"Barbados","1.91"
"Norway","1.94"
"Monaco ","1.98"
"Hong Kong","2.18"
"Zimbabwe ","3.4&"
